 NAME III (version 6.5)                                          
 Run name:                   Training Example 1
 Run time:                   30/09/2015 15:20:04.640 UTC+01:00
 Met data:                   Single Site Flow.Met Station
 Start of release:           08/10/2008 00:00 UTC
 End of release:             08/10/2008 06:00 UTC
 Source strength:            100.0000 g / s
 Release location:           3.4700W   50.7300N
 Release height:             150.000m agl +/- 0.000m
 Run duration:               12hr 0min
 X grid origin:                -6.445000    
 Y grid origin:                 47.75500    
 X grid size:                         120
 Y grid size:                         120
 X grid resolution:            5.0000001E-02
 Y grid resolution:            5.0000001E-02
 Number of preliminary cols:            4
 Number of field cols:                  1
 
 Fields:
                        ,                        ,                        ,                        ,                    Tracer,
                        ,                        ,                        ,                        ,                     Req 1,
                        ,                        ,                        ,                        ,         Air Concentration,
                        ,                        ,                        ,                        ,                    Tracer,
                        ,                        ,                        ,                        ,                   g / m^3,
                        ,                        ,                        ,                        ,               All sources,
                        ,                        ,                        ,                        ,     No ensemble averaging,
                        ,                        ,                        ,                        ,          1hr 0min average,
                        ,                        ,                        ,                        ,   No horizontal averaging,
                        ,                        ,                        ,                        ,     No vertical averaging,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,      08/10/2008 11:00 UTC,
                        ,                        ,                        ,                        ,        Z = 50.00000 m agl,
                        ,                        ,                        ,                        ,                          ,
                 X Index,                 Y Index,            X (Lat-Long),            Y (Lat-Long),                          ,
                      66,                      59,               -3.195000,                50.65500,             5.5101253E-08,
                      66,                      61,               -3.195000,                50.75500,             2.7613094E-08,
                      67,                      59,               -3.145000,                50.65500,             2.7550627E-08,
                      67,                      60,               -3.145000,                50.70500,             2.7580338E-08,
                      67,                      61,               -3.145000,                50.75500,             1.1045238E-07,
                      68,                      58,               -3.095000,                50.60500,             2.7520981E-08,
                      68,                      59,               -3.095000,                50.65500,             1.9285439E-07,
                      68,                      60,               -3.095000,                50.70500,             1.9306236E-07,
                      68,                      61,               -3.095000,                50.75500,             2.2090475E-07,
                      68,                      62,               -3.095000,                50.80500,             1.3818483E-07,
                      68,                      63,               -3.095000,                50.85500,             8.3009574E-08,
                      69,                      57,               -3.045000,                50.55500,             5.4982795E-08,
                      69,                      58,               -3.045000,                50.60500,             1.3760490E-07,
                      69,                      59,               -3.045000,                50.65500,             7.9896824E-07,
                      69,                      60,               -3.045000,                50.70500,             4.4128541E-07,
                      69,                      61,               -3.045000,                50.75500,             7.1794045E-07,
                      69,                      62,               -3.045000,                50.80500,             8.2910901E-08,
                      70,                      57,               -2.995000,                50.55500,             5.4982795E-08,
                      70,                      58,               -2.995000,                50.60500,             1.6512588E-07,
                      70,                      59,               -2.995000,                50.65500,             7.9896824E-07,
                      70,                      60,               -2.995000,                50.70500,             1.3238563E-06,
                      70,                      61,               -2.995000,                50.75500,             9.6645829E-07,
                      70,                      62,               -2.995000,                50.80500,             5.5273932E-07,
                      70,                      63,               -2.995000,                50.85500,             1.6601915E-07,
                      71,                      57,               -2.945000,                50.55500,             8.2474195E-08,
                      71,                      58,               -2.945000,                50.60500,             3.0273080E-07,
                      71,                      59,               -2.945000,                50.65500,             1.1846771E-06,
                      71,                      60,               -2.945000,                50.70500,             1.3514366E-06,
                      71,                      61,               -2.945000,                50.75500,             1.2978154E-06,
                      71,                      62,               -2.945000,                50.80500,             4.6982842E-07,
                      71,                      63,               -2.945000,                50.85500,             1.6601915E-07,
                      72,                      57,               -2.895000,                50.55500,             1.6494839E-07,
                      72,                      58,               -2.895000,                50.60500,             4.6785664E-07,
                      72,                      59,               -2.895000,                50.65500,             1.8183418E-06,
                      72,                      60,               -2.895000,                50.70500,             1.7375613E-06,
                      72,                      61,               -2.895000,                50.75500,             1.4082677E-06,
                      72,                      62,               -2.895000,                50.80500,             5.8037631E-07,
                      72,                      63,               -2.895000,                50.85500,             8.3009574E-08,
                      73,                      57,               -2.845000,                50.55500,             1.0996559E-07,
                      73,                      58,               -2.845000,                50.60500,             9.6323424E-07,
                      73,                      59,               -2.845000,                50.65500,             1.4877342E-06,
                      73,                      60,               -2.845000,                50.70500,             2.0133646E-06,
                      73,                      61,               -2.845000,                50.75500,             1.4634938E-06,
                      73,                      62,               -2.845000,                50.80500,             1.0502047E-06,
                      73,                      63,               -2.845000,                50.85500,             2.7669858E-08,
                      73,                      64,               -2.845000,                50.90500,             8.3099472E-08,
                      74,                      56,               -2.795000,                50.50500,             2.7461878E-08,
                      74,                      57,               -2.795000,                50.55500,             2.7491399E-07,
                      74,                      58,               -2.795000,                50.60500,             7.4306649E-07,
                      74,                      59,               -2.795000,                50.65500,             1.7907912E-06,
                      74,                      60,               -2.795000,                50.70500,             1.7927221E-06,
                      74,                      61,               -2.795000,                50.75500,             1.8500771E-06,
                      74,                      62,               -2.795000,                50.80500,             5.5273938E-07,
                      74,                      63,               -2.795000,                50.85500,             4.1504785E-07,
                      74,                      64,               -2.795000,                50.90500,             8.3099472E-08,
