 NAME III (version 6.5)                                          
 Run name:                   Training Example 1
 Run time:                   30/09/2015 15:20:04.640 UTC+01:00
 Met data:                   Single Site Flow.Met Station
 Start of release:           08/10/2008 00:00 UTC
 End of release:             08/10/2008 06:00 UTC
 Source strength:            100.0000 g / s
 Release location:           3.4700W   50.7300N
 Release height:             150.000m agl +/- 0.000m
 Run duration:               12hr 0min
 X grid origin:                -6.445000    
 Y grid origin:                 47.75500    
 X grid size:                         120
 Y grid size:                         120
 X grid resolution:            5.0000001E-02
 Y grid resolution:            5.0000001E-02
 Number of preliminary cols:            4
 Number of field cols:                  1
 
 Fields:
                        ,                        ,                        ,                        ,                    Tracer,
                        ,                        ,                        ,                        ,                     Req 1,
                        ,                        ,                        ,                        ,         Air Concentration,
                        ,                        ,                        ,                        ,                    Tracer,
                        ,                        ,                        ,                        ,                   g / m^3,
                        ,                        ,                        ,                        ,               All sources,
                        ,                        ,                        ,                        ,     No ensemble averaging,
                        ,                        ,                        ,                        ,          1hr 0min average,
                        ,                        ,                        ,                        ,   No horizontal averaging,
                        ,                        ,                        ,                        ,     No vertical averaging,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,                          ,
                      77,                      63,               -2.645000,                50.85500,             2.2135887E-07,
                      77,                      64,               -2.645000,                50.90500,             2.7699825E-08,
                      78,                      53,               -2.595000,                50.35500,             2.7376631E-08,
                      78,                      54,               -2.595000,                50.40500,             2.7405967E-08,
                      78,                      56,               -2.595000,                50.50500,             2.7461877E-07,
                      78,                      57,               -2.595000,                50.55500,             5.2233656E-07,
                      78,                      58,               -2.595000,                50.60500,             1.1834021E-06,
                      78,                      59,               -2.595000,                50.65500,             1.7907912E-06,
                      78,                      60,               -2.595000,                50.70500,             1.1307940E-06,
                      78,                      61,               -2.595000,                50.75500,             8.8361907E-07,
                      78,                      62,               -2.595000,                50.80500,             2.4873270E-07,
                      78,                      63,               -2.595000,                50.85500,             2.2135886E-07,
                      79,                      54,               -2.545000,                50.40500,             5.4811935E-08,
                      79,                      55,               -2.545000,                50.45500,             1.0972969E-07,
                      79,                      56,               -2.545000,                50.50500,             3.0208065E-07,
                      79,                      57,               -2.545000,                50.55500,             8.2474202E-07,
                      79,                      58,               -2.545000,                50.60500,             1.1834020E-06,
                      79,                      59,               -2.545000,                50.65500,             1.5152848E-06,
                      79,                      60,               -2.545000,                50.70500,             1.4065973E-06,
                      79,                      61,               -2.545000,                50.75500,             7.7316668E-07,
                      79,                      62,               -2.545000,                50.80500,             3.8691755E-07,
                      79,                      63,               -2.545000,                50.85500,             2.4902874E-07,
                      79,                      64,               -2.545000,                50.90500,             5.5399649E-08,
                      80,                      54,               -2.495000,                50.40500,             2.7405967E-08,
                      80,                      55,               -2.495000,                50.45500,             2.7432424E-07,
                      80,                      56,               -2.495000,                50.50500,             2.1969501E-07,
